Runtime:23581131
Cache size,Miss Rate
8192,0.813768
16384,0.808704
24576,0.804601
32768,0.795724
40960,0.784605
49152,0.779521
57344,0.785926
65536,0.767893
73728,0.761842
81920,0.756821
90112,0.746619
98304,0.735374
106496,0.730462
114688,0.719094
122880,0.71422
131072,0.704771
139264,0.698834
147456,0.690825
155648,0.682701
163840,0.679463
172032,0.676014
180224,0.665494
188416,0.661789
196608,0.661326
204800,0.655491
212992,0.65153
221184,0.647641
229376,0.642992
237568,0.639365
245760,0.635028
253952,0.633426
262144,0.631549
