Runtime:2804884
Cache size,Miss Rate
8192,0.96917
16384,0.938995
24576,0.910603
32768,0.882824
40960,0.855999
49152,0.830894
57344,0.806561
65536,0.783802
73728,0.761955
81920,0.74202
90112,0.722538
98304,0.70536
106496,0.689686
114688,0.675159
122880,0.662594
131072,0.652195
139264,0.643639
147456,0.637283
155648,0.632896
163840,0.63118
172032,0.631149
180224,0.631149
188416,0.631149
196608,0.631149
204800,0.631149
212992,0.631149
221184,0.631149
229376,0.631149
237568,0.631149
245760,0.631149
253952,0.631149
262144,0.631149
