Runtime:30746355
Cache size,Miss Rate
8196,0.83079
16392,0.829004
24588,0.82476
32784,0.824971
40980,0.822155
49176,0.810682
57372,0.808066
65568,0.813781
73764,0.814654
81960,0.806185
90156,0.792821
98352,0.804051
106548,0.797217
114744,0.773992
122940,0.769286
131136,0.771396
139332,0.770961
147528,0.765537
155724,0.76022
163920,0.752395
172116,0.747871
180312,0.735381
188508,0.732075
196704,0.732149
204900,0.729905
213096,0.719134
221292,0.720966
229488,0.72031
237684,0.706853
245880,0.701452
254076,0.694995
