Runtime:600380
Cache size,Miss Rate
8192,0.949507
16384,0.929916
24576,0.888351
32768,0.862366
40960,0.831951
49152,0.80671
57344,0.776114
65536,0.746736
73728,0.740147
81920,0.740147
90112,0.740147
98304,0.740147
106496,0.733553
114688,0.729587
122880,0.729587
131072,0.729587
139264,0.729587
147456,0.729587
155648,0.729587
163840,0.729587
172032,0.729587
180224,0.729587
188416,0.729587
196608,0.729587
204800,0.729587
212992,0.729587
221184,0.729587
229376,0.729587
237568,0.729587
245760,0.729587
253952,0.729587
262144,0.729587
